512 0.854234 0.118023 7.2378604170
640 1.576087 0.229168 6.8774305313
768 2.760637 0.397349 6.9476379706
896 4.443454 0.650504 6.8307865900
1024 9.463857 1.003543 9.4304449336
1152 11.056048 1.461015 7.5673747360
1280 16.678479 2.051277 8.1307785345
1408 21.779832 2.801247 7.7750487550
1536 52.502481 5.638461 9.3114913803
1664 40.640785 4.842439 8.3926271451
1792 56.540403 6.420649 8.8060261509
1920 64.396297 7.459968 8.6322484225
2048 155.119873 18.411386 8.4252143211
2176 96.459114 10.948693 8.8101030871
2304 139.154053 14.793695 9.4063080927
2432 134.176463 15.336578 8.7487875717
2560 323.496125 54.212135 5.9672271715
