256  142701954 8460 1420 52924609 21078239 9254 17971899 28476 16853 126288672 7444 1426 36311877 4407862 9254 18037694 28476 16853
512  1107189639 9485 1421 412914350 168172549 33835 138952114 106057 66101 974420629 7441 1423 279353264 34381724 33835 139214772 106057 66101
768  3698928920 10584 1608 1381996003 567120070 148723 463618388 234776 148178 3249198496 7517 1613 930487651 115095197 148723 464208982 234776 148178
1024  8723223891 11607 1698 3262158807 1343750443 11371800 1092633675 414864 262971 7655263051 7519 1708 2191040977 271714626 2239800 1093683274 414864 262976
