256  142701969 6888 2410 52924611 21671447 18020 17971900 8627980 33653 126288672 6897 2415 36311877 19374217 18020 18037694 305167 33653
512  1107189624 6874 2493 412914348 203969177 69418 138952113 134386814 134264 974420615 6884 2497 279353262 269696062 67371 139214771 1219198 132215
768  3698928871 6954 2692 1381995992 689964303 1809823 463618382 230602092 296328 3249197665 6900 2669 930487389 572009735 727975 464208827 5882983 297015
1024  8723223934 6954 2756 3262158816 1627452396 5657546 1092633681 1074410134 534137 7655263116 6963 2761 2191040994 2152531473 1984887 1093683283 9064086 534145
