256  142701954 2549 1420 52924609 18662556 9264 17971899 4709183 16853 126288657 2558 1423 36311875 10486325 9264 18037693 547906 16853
512  1107189624 2541 1464 412914348 154795513 38056 138952113 68784213 70236 974420629 2552 1468 279353264 144305967 33960 139214772 2201178 66140
768  3698928903 2572 1573 1381995999 551584457 1630128 463618385 119668670 148255 3249197651 2565 1562 930487387 304225511 367205 464208826 7311038 149626
1024  8723223920 2573 1600 3262158812 1372829778 4956568 1092633679 17208498 283615 7655263100 2581 1604 2191040990 286125453 1013723 1093683280 17215666 283620
