256  142701954 5724 1420 52924609 21052466 9254 17971899 18383 16853 126288657 5727 1423 36311875 4381157 9254 18037693 18383 16853
512  1107189638 5722 1420 412914350 168074654 33835 138952114 68077 66101 974420615 5723 1421 279353262 34282897 33835 139214771 68077 66101
768  3698928871 5790 1606 1381995992 566902552 148723 463618382 150585 148179 3249197665 5736 1599 930487389 114876747 148723 464208827 150583 148177
1024  8723223891 5789 1693 3262158807 1343365258 11371757 1092633675 265837 262972 7655263132 5792 1697 2191040998 271328509 2239757 1093683286 265837 262976
