256  142701954 3989 2407 52924609 19360869 18020 17971899 4477664 33653 126288657 4003 2412 36311875 11892705 18020 18037693 299749 33653
512  1107189624 3969 2462 412914348 169811242 69418 138952113 68044950 134264 974420615 3983 2464 279353262 152247581 67371 139214771 1198750 132215
768  3698928832 4022 2622 1381995980 630070839 1809786 463618376 116677646 296328 3249197665 4002 2594 930487389 372198589 727939 464208827 3875339 297015
1024  8723223907 4021 2661 3262158811 1624570864 5657509 1092633678 8990701 534137 7655263029 4036 2669 2191040973 546365205 1984851 1093683269 8993773 534145
