256  142701968 3989 2409 52924611 17139541 18009 17971900 33895 33653 126288681 4003 2414 36311879 4288307 18009 18037695 33903 33653
512  1107189639 3970 2400 412914350 139252740 67152 138952114 132391 132148 974420615 3983 2402 279353262 37709023 67152 139214771 132399 132148
768  3698928851 4022 2613 1381995986 680217887 297061 463618378 296538 296287 3249198454 4036 2617 930487642 228230999 297062 464208976 296546 296287
1024  8723223961 4019 2659 3262158828 1611927077 22054454 1092633683 527540 525873 7655263132 4033 2666 2191040998 539986525 8116917 1093683286 527540 525880
