256  142701954 3989 2407 52924609 16977146 18009 17971899 33932 33653 126288672 4004 2415 36311877 4291043 18009 18037694 33940 33653
512  1107189624 3969 2397 412914348 136954128 67166 138952113 132452 132148 974420615 3983 2402 279353262 36061764 67166 139214771 132460 132148
768  3698928898 4021 2612 1381995997 680218050 296807 463618385 296666 296287 3249197666 4003 2584 930487389 228225798 296808 464208827 296668 296282
1024  8723223907 4021 2661 3262158811 1611927238 12201408 1092633678 527577 525873 7655263077 4036 2669 2191040985 539981322 4464393 1093683278 527577 525880
