256  142701954 4511 1420 52924609 17903291 9254 17971899 17237 16853 126288671 4517 1425 36311877 3033395 9254 18037694 17242 16853
512  1107189639 4507 1419 412914350 168070756 33825 138952114 67328 66100 974420615 4509 1419 279353262 34276063 33825 139214771 67328 66100
768  3698928855 4549 1594 1381995988 566898541 148850 463618379 149795 148179 3249197651 4520 1583 930487387 114869800 148850 464208826 149793 148177
1024  8723223934 4549 1655 3262158816 1343361133 20496365 1092633681 265027 262972 7655263116 4553 1660 2191040994 271321448 4071320 1093683283 265027 262976
