256  142701954 8460 1420 52924609 21060410 9254 17971899 19184 16853 126288672 7444 1426 36311877 4390078 9254 18037694 19184 16853
512  1107189624 9482 1416 412914348 168102465 33825 138952113 68910 66100 974420629 7441 1421 279353264 34311685 33825 139214772 68910 66100
768  3698928864 10584 1608 1381995990 566963424 148849 463618380 151399 148178 3249198467 7518 1613 930487643 114938596 148849 464208977 151399 148178
1024  8723223891 11607 1698 3262158807 1343472415 20496636 1092633675 266663 262972 7655263077 7517 1708 2191040985 271436643 4071607 1093683278 266663 262977
