256  142701954 5724 1420 52924609 22171350 9264 17971899 16835108 16853 126288657 5727 1423 36311875 33879665 9264 18037693 583972 16853
512  1107189639 5723 1484 412914350 176216435 38056 138952114 134442533 70236 974420615 5723 1484 279353262 269716802 33960 139214771 4426789 66140
768  3698928907 5789 1637 1381995999 593477340 1630175 463618386 453487444 148255 3249197665 5736 1632 930487389 908844255 367251 464208827 14676050 149626
1024  8723223949 5789 1693 3262158820 1405288261 4956615 1092633684 1074633113 283615 7655263133 5793 1698 2191040998 2152588668 1013769 1093683286 34477465 283620
