256  142701954 5724 1420 52924609 21052461 9254 17971899 18335 16853 126288657 5727 1423 36311875 4381468 9254 18037693 18335 16853
512  1107189639 5723 1419 412914350 168074534 33825 138952114 68030 66100 974420615 5723 1419 279353262 34283093 33825 139214771 68030 66100
768  3698928891 5791 1607 1381995995 566902320 148850 463618383 150497 148179 3249198402 5793 1612 930487628 114876831 148850 464208966 150497 148179
1024  8723223907 5789 1693 3262158811 1343364912 20496560 1092633678 265732 262974 7655263117 5793 1698 2191040994 271328479 4071505 1093683283 265732 262978
