256  142701954 11313 2407 52924609 25257748 18009 17971899 35979 33653 126288657 11313 2412 36311875 8595184 18009 18037693 35979 33653
512  1107190625 11428 2437 412914642 201664590 67177 138952264 134865 132154 974420630 11294 2405 279353264 67906073 67166 139214772 134859 132148
768  3698928913 11431 2700 1381996001 680225135 296807 463618388 299280 296288 3249198470 11431 2705 930487645 228273483 296808 464208976 299280 296287
1024  8723223938 11431 2848 3262158815 1611934363 12201793 1092633681 529232 525875 7655263133 11431 2853 2191040998 540029047 4464841 1093683286 529232 525882
