256  142701954 4511 1420 52924609 17401827 9254 17971899 17445 16853 126288671 4517 1425 36311877 2677277 9254 18037694 17450 16853
512  1107189638 4506 1420 412914350 168071202 33835 138952114 67507 66101 974420615 4509 1421 279353262 34275821 33835 139214771 67507 66101
768  3698928858 4549 1594 1381995988 566899045 148723 463618380 149994 148179 3249197666 4523 1586 930487389 114869616 148723 464208827 149992 148177
1024  8723223967 4547 1653 3262158823 1343361687 11371659 1092633686 265237 262972 7655263064 4554 1661 2191040981 271321314 2239664 1093683276 265237 262976
