256  142701954 2549 1420 52924609 17092402 9254 17971899 17035 16853 126288671 2560 1425 36311877 2161957 9254 18037694 17040 16853
512  1107189624 2541 1416 412914348 138857862 33825 138952113 66338 66100 974420615 2550 1419 279353262 20652687 33825 139214771 66343 66100
768  3698928907 2574 1568 1381995999 566897439 148849 463618386 148554 148178 3249197651 2565 1554 930487387 114855595 148850 464208826 148557 148177
1024  8723223993 2572 1599 3262158836 1343360030 20496181 1092633689 264881 262972 7655263090 2583 1606 2191040989 271307241 4071122 1093683280 264881 262976
