256  142701954 11313 2407 52924609 26246886 18020 17971899 16848650 33653 126288657 11313 2412 36311875 33901131 18020 18037693 597514 33653
512  1107189639 11294 2504 412914350 208763747 69418 138952114 134492929 134264 974420615 11291 2506 279353262 269791624 67371 139214771 4477185 132215
768  3698928914 11432 2760 1381996001 703274620 1809881 463618388 453599226 296328 3249197651 11309 2737 930487387 909007712 728030 464208826 14787829 297015
1024  8723223907 11427 2846 3262158811 1665493109 5657604 1092633678 1074830828 534137 7655263117 11431 2853 2191040994 2152876058 1984942 1093683283 34675180 534145
