256  142701969 8636 2410 52924611 25254688 18009 17971900 35105 33653 126288657 8634 2412 36311875 8590228 18009 18037693 35105 33653
512  1107189639 8625 2400 412914350 201661462 67166 138952114 133983 132148 974420615 8622 2402 279353262 67901066 67166 139214771 133983 132148
768  3698928871 8736 2692 1381995992 680221991 296807 463618382 298405 296288 3249197665 8639 2671 930487389 228268440 296808 464208827 298400 296282
1024  8723223917 8738 2822 3262158812 1611931180 12201708 1092633678 528357 525873 7655263133 8739 2827 2191040998 540023968 4464764 1093683286 528357 525880
