256  142701969 8636 2410 52924611 25254544 18009 17971900 35068 33653 126288657 8634 2412 36311875 8590552 18009 18037693 35068 33653
512  1107189624 8622 2397 412914348 201661319 67152 138952113 133946 132148 974420615 8622 2402 279353262 67901391 67152 139214771 133946 132148
768  3698928913 8738 2692 1381996001 680221847 297061 463618386 298370 296288 3249197665 8639 2671 930487389 228268765 297062 464208827 298365 296282
1024  8723223950 8739 2823 3262158820 1611931036 22055054 1092633684 528321 525873 7655263090 8735 2825 2191040989 540024292 8117532 1093683280 528321 525880
