256  142701954 8460 1420 52924609 23615881 9264 17971899 16860780 16853 126288672 7444 1426 36311877 34412408 9264 18037694 1135980 16853
512  1107189624 9482 1481 412914348 185657981 38056 138952113 134542415 70236 974420615 7439 1484 279353262 271836148 33960 139214771 8729167 66140
768  3698928904 10584 1648 1381995999 622975569 1630183 463618385 453710979 148255 3249198442 7519 1654 930487637 913607504 367258 464208971 29073795 149628
1024  8723223959 11606 1701 3262158822 1472407898 4956623 1092633685 1075029752 283615 7655263120 7518 1709 2191040994 2161053153 1013776 1093683284 68461304 283620
