256  142701954 4511 1420 52924609 20015117 9264 17971899 8816383 16853 126288657 4515 1423 36311875 18438752 9264 18037693 559616 16853
512  1107189648 4505 1479 412914352 172499402 38056 138952115 134363837 70236 974420629 4511 1483 279353264 269658949 33960 139214772 2246845 66140
768  3698928888 4550 1612 1381995993 587496641 1630151 463618384 234280576 148255 3249197675 4521 1602 930487391 518842997 367229 464208828 11335550 149626
1024  8723223949 4548 1654 3262158820 1375746274 4956591 1092633684 1074320044 283615 7655263119 4554 1661 2191040994 2152372337 1013747 1093683284 17370796 283620
