256  142701969 6888 2410 52924611 18018745 18009 17971900 34036 33653 126288657 6895 2412 36311875 5216753 18009 18037693 34044 33653
512  1107189638 6875 2399 412914350 201658112 67152 138952114 133306 132148 974420630 6886 2405 279353264 67891480 67152 139214772 133306 132148
768  3698928920 6954 2670 1381996003 680218635 297061 463618388 297728 296288 3249198487 6965 2676 930487649 228258851 297062 464208979 297728 296287
1024  8723223950 6954 2756 3262158820 1611927828 22054750 1092633684 527681 525873 7655263119 6964 2762 2191040994 540014380 8117221 1093683284 527681 525880
