256  142701969 8636 2410 52924611 25839530 18020 17971900 16830473 33653 126288672 8637 2415 36311877 33882255 18020 18037694 316169 33653
512  1107189639 8625 2503 412914350 205567852 69418 138952114 134422316 134264 974420615 8622 2504 279353262 269731089 67371 139214771 2305324 132215
768  3698928858 8736 2736 1381995988 692547635 1809861 463618380 453441238 296328 3249197651 8637 2715 930487387 908877975 728012 464208826 7542737 297015
1024  8723223894 8736 2822 3262158807 1640133153 5657584 1092633676 1074550516 534137 7655263045 8736 2826 2191040977 2152649542 1984924 1093683272 17601268 534145
