256  142701954 2549 1420 52924609 16944851 9254 17971899 17077 16853 126288671 2560 1425 36311877 2167787 9254 18037694 17082 16853
512  1107189624 2541 1418 412914348 136740031 33835 138952113 66366 66101 974420615 2550 1421 279353262 19120201 33835 139214771 66371 66101
768  3698928855 2575 1569 1381995988 566897604 148724 463618379 148708 148178 3249197666 2568 1557 930487389 114852671 148724 464208827 148710 148177
1024  8723223943 2571 1598 3262158818 1343360200 11371567 1092633682 264908 262972 7655263117 2582 1605 2191040994 271304323 2239528 1093683283 264908 262976
