256  142701954 6886 2407 52924609 17459544 18009 17971899 34189 33653 126288657 6895 2412 36311875 4819564 18009 18037693 34197 33653
512  1107189639 6876 2400 412914350 201658425 67166 138952114 133422 132148 974420615 6884 2402 279353262 67890461 67166 139214771 133422 132148
768  3698928913 6954 2670 1381996001 680218948 296807 463618388 297845 296288 3249197665 6900 2645 930487389 228257832 296808 464208827 297840 296282
1024  8723223950 6954 2756 3262158820 1611928138 12201556 1092633684 527796 525873 7655263090 6963 2761 2191040989 540013358 4464609 1093683280 527796 525880
