2000	.01531390000000000000	.00427980000000000000
4000	.09191030000000000000	.01719150000000000000
6000	.23693880000000000000	.03832640000000000000
8000	.46579950000000000000	.06884520000000000000
10000	.74641100000000000000	.10720620000000000000
12000	1.15137390000000000000	.15588830000000000000
14000	1.58051750000000000000	.21090880000000000000
16000	2.33016760000000000000	.27321650000000000000
18000	2.76819990000000000000	.35751650000000000000
20000	3.69891160000000000000	.43326590000000000000
