1000 1312034 226895 305199 226895
1500 3035982 520681 769866 520681
2000 5269810 904103 1246872 904103
2500 8374377 1431332 2080444 1431332
3000 11889806 2032790 2828319 2032790
3500 16310836 2793555 3975382 2793555
4000 21158720 3612645 5049399 3612645
