1000 3467391 313392 2453745 313392
1500 7808181 703071 5526729 703071
2000 13887044 1248535 9832421 1248535
2500 21707807 1950022 15371196 1950023
3000 31218293 2807582 22095336 2807583
3500 42510584 3820574 30091483 3820574
4000 55476233 4989911 39257598 4989911
