1000 8945316 3571490 7890749 3571490
1500 20126414 8032009 17752852 8032009
2000 35781296 14276490 31562823 14276489
2500 55913508 22305025 49320848 22305027
3000 80490890 32113351 70999085 32113353
3500 109549766 43690829 96628642 43690829
4000 143038291 57069663 126163790 57069663
